Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 579, Diff=9.08989e-05
Step 580, Diff=9.07688e-05
Step 581, Diff=9.0639e-05
Step 582, Diff=9.05096e-05
Step 583, Diff=9.03807e-05
Step 584, Diff=9.02521e-05
Step 585, Diff=9.01239e-05
Step 586, Diff=8.9996e-05
Step 587, Diff=8.98686e-05
Step 588, Diff=8.97416e-05
Step 589, Diff=8.96149e-05
Step 590, Diff=8.94886e-05
Step 591, Diff=8.93627e-05
Step 592, Diff=8.92372e-05
Step 593, Diff=8.9112e-05
Step 594, Diff=8.89872e-05
Step 595, Diff=8.88628e-05
Step 596, Diff=8.87388e-05
Step 597, Diff=8.86151e-05
Step 598, Diff=8.84918e-05
Step 599, Diff=8.83688e-05
Step 600, Diff=8.82462e-05
Step 601, Diff=8.8124e-05
Step 602, Diff=8.80021e-05
Step 603, Diff=8.78806e-05
Step 604, Diff=8.77595e-05
Step 605, Diff=8.76387e-05
Step 606, Diff=8.75182e-05
Step 607, Diff=8.73981e-05
Step 608, Diff=8.72784e-05
Step 609, Diff=8.7159e-05
Step 610, Diff=8.70399e-05
Step 611, Diff=8.69212e-05
Step 612, Diff=8.68028e-05
Step 613, Diff=8.66848e-05
Step 614, Diff=8.65671e-05
Step 615, Diff=8.64498e-05
Step 616, Diff=8.63328e-05
Step 617, Diff=8.62161e-05
Step 618, Diff=8.60997e-05
Step 619, Diff=8.59837e-05
Step 620, Diff=8.58681e-05
Step 621, Diff=8.57527e-05
Step 622, Diff=8.56377e-05
Step 623, Diff=8.5523e-05
Step 624, Diff=8.54086e-05
Step 625, Diff=8.52946e-05
Step 626, Diff=8.51808e-05
Step 627, Diff=8.50674e-05
Step 628, Diff=8.49544e-05
Step 629, Diff=8.48416e-05
Step 630, Diff=8.47291e-05
Step 631, Diff=8.4617e-05
Step 632, Diff=8.45052e-05
Step 633, Diff=8.43937e-05
Step 634, Diff=8.42825e-05
Step 635, Diff=8.41716e-05
Step 636, Diff=8.4061e-05
Step 637, Diff=8.39507e-05
Step 638, Diff=8.38408e-05
Step 639, Diff=8.37311e-05
Step 640, Diff=8.36217e-05
Step 641, Diff=8.35127e-05
Step 642, Diff=8.34039e-05
Step 643, Diff=8.32955e-05
Step 644, Diff=8.31873e-05
Step 645, Diff=8.30794e-05
Step 646, Diff=8.29719e-05
Step 647, Diff=8.28646e-05
Step 648, Diff=8.27576e-05
Step 649, Diff=8.26509e-05
Step 650, Diff=8.25445e-05
Step 651, Diff=8.24384e-05
Step 652, Diff=8.23326e-05
Step 653, Diff=8.2227e-05
Step 654, Diff=8.21218e-05
Step 655, Diff=8.20168e-05
Step 656, Diff=8.19121e-05
Step 657, Diff=8.18077e-05
Step 658, Diff=8.17036e-05
Step 659, Diff=8.15998e-05
Step 660, Diff=8.14962e-05
Step 661, Diff=8.13929e-05
Step 662, Diff=8.12899e-05
Step 663, Diff=8.11872e-05
Step 664, Diff=8.10847e-05
Step 665, Diff=8.09825e-05
Step 666, Diff=8.08806e-05
Step 667, Diff=8.07789e-05
Step 668, Diff=8.06776e-05
Step 669, Diff=8.05764e-05
Step 670, Diff=8.04756e-05
Step 671, Diff=8.0375e-05
Step 672, Diff=8.02747e-05
Step 673, Diff=8.01747e-05
Step 674, Diff=8.00749e-05
Step 675, Diff=7.99753e-05
Step 676, Diff=7.98761e-05
Step 677, Diff=7.97771e-05
Step 678, Diff=7.96783e-05
Step 679, Diff=7.95798e-05
Step 680, Diff=7.94816e-05
Step 681, Diff=7.93836e-05
Step 682, Diff=7.92859e-05
Step 683, Diff=7.91884e-05
Step 684, Diff=7.90912e-05
Step 685, Diff=7.89942e-05
Step 686, Diff=7.88975e-05
Step 687, Diff=7.8801e-05
Step 688, Diff=7.87048e-05
Step 689, Diff=7.86088e-05
Step 690, Diff=7.85131e-05
Step 691, Diff=7.84176e-05
Step 692, Diff=7.83224e-05
Step 693, Diff=7.82274e-05
Step 694, Diff=7.81326e-05
Step 695, Diff=7.80381e-05
Step 696, Diff=7.79438e-05
Step 697, Diff=7.78498e-05
Step 698, Diff=7.7756e-05
Step 699, Diff=7.76624e-05
Step 700, Diff=7.75691e-05
Step 701, Diff=7.7476e-05
Step 702, Diff=7.73831e-05
Step 703, Diff=7.72905e-05
Step 704, Diff=7.71981e-05
Step 705, Diff=7.7106e-05
Step 706, Diff=7.70141e-05
Step 707, Diff=7.69224e-05
Step 708, Diff=7.68309e-05
Step 709, Diff=7.67397e-05
Step 710, Diff=7.66487e-05
Step 711, Diff=7.65579e-05
Step 712, Diff=7.64673e-05
Step 713, Diff=7.6377e-05
Step 714, Diff=7.62869e-05
Step 715, Diff=7.6197e-05
Step 716, Diff=7.61073e-05
Step 717, Diff=7.60179e-05
Step 718, Diff=7.59286e-05
Step 719, Diff=7.58396e-05
Step 720, Diff=7.57509e-05
Step 721, Diff=7.56623e-05
Step 722, Diff=7.55739e-05
Step 723, Diff=7.54858e-05
Step 724, Diff=7.53979e-05
Step 725, Diff=7.53102e-05
Step 726, Diff=7.52227e-05
Step 727, Diff=7.51354e-05
Step 728, Diff=7.50483e-05
Step 729, Diff=7.49615e-05
Step 730, Diff=7.48748e-05
Step 731, Diff=7.47884e-05
Step 732, Diff=7.47022e-05
Step 733, Diff=7.46162e-05
Step 734, Diff=7.45304e-05
Step 735, Diff=7.44448e-05
Step 736, Diff=7.43594e-05
Step 737, Diff=7.42742e-05
Step 738, Diff=7.41892e-05
Step 739, Diff=7.41044e-05
Step 740, Diff=7.40198e-05
Step 741, Diff=7.39354e-05
Step 742, Diff=7.38513e-05
Step 743, Diff=7.37673e-05
Step 744, Diff=7.36835e-05
Step 745, Diff=7.35999e-05
Step 746, Diff=7.35165e-05
Step 747, Diff=7.34334e-05
Step 748, Diff=7.33504e-05
Step 749, Diff=7.32676e-05
Step 750, Diff=7.3185e-05
Step 751, Diff=7.31026e-05
Step 752, Diff=7.30204e-05
Step 753, Diff=7.29384e-05
Step 754, Diff=7.28565e-05
Step 755, Diff=7.27749e-05
Step 756, Diff=7.26935e-05
Step 757, Diff=7.26122e-05
Step 758, Diff=7.25311e-05
Step 759, Diff=7.24503e-05
Step 760, Diff=7.23696e-05
Step 761, Diff=7.22891e-05
Step 762, Diff=7.22088e-05
Step 763, Diff=7.21287e-05
Step 764, Diff=7.20487e-05
Step 765, Diff=7.1969e-05
Step 766, Diff=7.18894e-05
Step 767, Diff=7.181e-05
Step 768, Diff=7.17308e-05
Step 769, Diff=7.16518e-05
Step 770, Diff=7.1573e-05
Step 771, Diff=7.14943e-05
Step 772, Diff=7.14158e-05
Step 773, Diff=7.13376e-05
Step 774, Diff=7.12594e-05
Step 775, Diff=7.11815e-05
Step 776, Diff=7.11037e-05
Step 777, Diff=7.10262e-05
Step 778, Diff=7.09487e-05
Step 779, Diff=7.08715e-05
Step 780, Diff=7.07945e-05
Step 781, Diff=7.07176e-05
Step 782, Diff=7.06409e-05
Step 783, Diff=7.05643e-05
Step 784, Diff=7.0488e-05
Step 785, Diff=7.04118e-05
Step 786, Diff=7.03358e-05
Step 787, Diff=7.02599e-05
Step 788, Diff=7.01842e-05
Step 789, Diff=7.01087e-05
Step 790, Diff=7.00334e-05
Step 791, Diff=6.99582e-05
Step 792, Diff=6.98832e-05
Step 793, Diff=6.98084e-05
Step 794, Diff=6.97337e-05
Step 795, Diff=6.96592e-05
Step 796, Diff=6.95849e-05
Step 797, Diff=6.95107e-05
Step 798, Diff=6.94367e-05
Step 799, Diff=6.93629e-05
Step 800, Diff=6.92892e-05
Step 801, Diff=6.92157e-05
Step 802, Diff=6.91423e-05
Step 803, Diff=6.90691e-05
Step 804, Diff=6.89961e-05
Step 805, Diff=6.89232e-05
Step 806, Diff=6.88505e-05
Step 807, Diff=6.8778e-05
Step 808, Diff=6.87056e-05
Step 809, Diff=6.86333e-05
Step 810, Diff=6.85613e-05
Step 811, Diff=6.84893e-05
Step 812, Diff=6.84176e-05
Step 813, Diff=6.8346e-05
Step 814, Diff=6.82745e-05
Step 815, Diff=6.82032e-05
Step 816, Diff=6.81321e-05
Step 817, Diff=6.80611e-05
Step 818, Diff=6.79903e-05
Step 819, Diff=6.79196e-05
Step 820, Diff=6.78491e-05
Step 821, Diff=6.77787e-05
Step 822, Diff=6.77085e-05
Step 823, Diff=6.76384e-05
Step 824, Diff=6.75685e-05
Step 825, Diff=6.74987e-05
Step 826, Diff=6.74291e-05
Step 827, Diff=6.73596e-05
Step 828, Diff=6.72903e-05
Step 829, Diff=6.72211e-05
Step 830, Diff=6.71521e-05
Step 831, Diff=6.70832e-05
Step 832, Diff=6.70144e-05
Step 833, Diff=6.69458e-05
Step 834, Diff=6.68774e-05
Step 835, Diff=6.68091e-05
Step 836, Diff=6.67409e-05
Step 837, Diff=6.66729e-05
Step 838, Diff=6.66051e-05
Step 839, Diff=6.65373e-05
Step 840, Diff=6.64698e-05
Step 841, Diff=6.64023e-05
Step 842, Diff=6.6335e-05
Step 843, Diff=6.62679e-05
Step 844, Diff=6.62009e-05
Step 845, Diff=6.6134e-05
Step 846, Diff=6.60672e-05
Step 847, Diff=6.60006e-05
Step 848, Diff=6.59342e-05
Step 849, Diff=6.58679e-05
Step 850, Diff=6.58017e-05
Step 851, Diff=6.57356e-05
Step 852, Diff=6.56697e-05
Step 853, Diff=6.5604e-05
Step 854, Diff=6.55383e-05
Step 855, Diff=6.54728e-05
Step 856, Diff=6.54075e-05
Step 857, Diff=6.53423e-05
